,persName,rolename
112,"AXWORTHY, SALLY",M.B.E.
113,"BACHE, ANDREW P.F.",C.M.G.
114,"BAGGE, SIR J. PICTON, Bt.",C.M.G.
115,"BAGOT, Rt. Hon. Sir CHARLES",G.C.B.
116,"BAILES, ALYSON J.K.",C.M.G.
117,"BAILEY, Lieutenant-Colonel FREDERICK M.",C.I.E.
118,"BAILEY, RONALD W.",C.M.G.
119,"BAIRD, NICHOLAS G.F.",C.M.G.
120,"BAIRD, NICHOLAS G.F.",C.V.O.
121,BAKER. ANTHONY C.,L.V.O.
122,BAKER. ANTHONY C.,M.B.E.
123,"BAKER, FRANCIS R.",C.M.G.
124,"BAKER, FRANCIS R.",O.B.E.
125,"BAKER, GEOFFREY H.",C.M.G.
126,"BAKER, GEORGE W",C.B.E.
127,"BAKER, GEORGE W",V.R.D.
128,"BAKER, NIGEL M.",O.B.E.
129,"BAKER, NIGEL M.",M.V.O.
130,"BAKER-BATES, MERRICK S.",C.M.G.
131,"BALDWIN, Colonel SIR JOHN G.",K.C.M.G.
132,"BALDWIN, Colonel SIR JOHN G.",C.B.
133,"BALFOUR, DAVID",C.B.E.
134,"BALFOUR, SIR JOHN",G.C.M.G.
135,"BALFOUR, RAYMOND L.",L.V.O.
136,"BALFOUR-PAUL, H. GLENCAIRN",C.M.G.
137,"BALL, ARTHUR B.",O.B.E.
138,"BALLANTYNE, ALEXANDER H.",C.V.O.
139,"BALLANTYNE, ALEXANDER H.",C.B.E.
140,"BALLENTYNE, DONALD F.",C.M.G.
141,"BARBER, LESLIE C.S.",M.B.E.
142,"BARCLAY, CHRISTOPHER F.R.",C.M.G.
143,"BARCLAY, Rt. Hon. SIR COLVILLE A. de R.",K.C.M.G.
144,"BARCLAY, Rt. Hon. SIR COLVILLE A. de R.",C.B.
145,"BARCLAY, Rt. Hon. SIR COLVILLE A. de R.",C.B.E.
146,"BARCLAY, Rt. Hon. SIR COLVILLE A. de R.",M.V.O.
147,"BARCLAY, SIR GEORGE H.",K.C.M.G.
148,"BARCLAY, SIR GEORGE H.",K.C.S.I.
149,"BARCLAY, SIR GEORGE H.",C.V.O.
150,"BARCLAY, SIR RODERICK E.",G.C.V.O.
151,"BARCLAY, SIR RODERICK E.",K.C.M.G.
152,"BARDER, SIR BRIAN L.",K.C.M.G.
153,"BARFF, STAFFORD E.D.",O.B.E.
154,"BARING, Hon. SIR EVELYN",K.G.
155,"BARING, Hon. SIR EVELYN",G.C.M.G.
156,"BARING, Hon. SIR EVELYN",C.V.O.
157,"BARKER, SIR WILLIAM",K.C.M.G.
158,"BARKER, SIR WILLIAM",O.B.E.
159,"BARLTROP, ROGER A.R.",C.M.G.
160,"BARLTROP, ROGER A.R.",C.V.O.
161,"BARNES, SIR E. JOHN W.",K.C.M.G.
162,"BARNES, SIR E. JOHN W.",M.B.E.
163,"BARNETT, ROBERT W.",O.B.E.
164,"BARNETT, ROBIN A.",C.M.G.
165,"BARRASS, GORDON S.",C.M.G.
166,"BARRETT, EDMOND F.",O.B.E.
167,"BARRETT, SIR STEPHEN J.",K.C.M.G.
168,"BARRINGTON, Hon. SIR B., ERIC E.",K.C.B.
169,"BARRINGTON, SIR NICOLAS J.",K.C.M.G.
170,"BARRINGTON, SIR NICOLAS J.",C.V.O.
171,"BARRINGTON, Hon. SIR WILLIAM A.C.",K.C.M.G.
172,"BARRON, SIR HENRY P.T., Bt.",C.M.G.
173,"BARROW, SIR TIMOTHY E.",K.C.M.G.
174,"BARROW, SIR TIMOTHY E.",L.V.O.
175,"BARROW, SIR TIMOTHY E.",M.B.E.
176,"BARSON, JACQUELINE A.",M.B.E.
177,"BARTLETT, HENRY F.",C.M.G.
178,"BARTLETT, HENRY F.",O.B.E.
179,"BARTON, PHILIP R.",C.M.G.
180,"BARTON, PHILIP R.",O.B.E.
181,"BARTON, SIR SIDNEY",G.B.E.
182,"BARTON, SIR SIDNEY",K.C.V.O.
183,"BARTON, SIR SIDNEY",C.M.G.
184,"BASS, HARRY G.M.",C.M.G.
185,"BATEMAN, SIR CHARLES H.",K.C.M.G.
186,"BATEMAN, SIR CHARLES H.",M.C.
187,"BATES, MICHAEL C.",O.B.E.
188,"BATES, WILLIAM S.",C.M.G.
189,"BATTERBEE, SIR HARRY F.",G.C.M.G.
190,"BATTERBEE, SIR HARRY F.",K.C.V.O.
