,persName,rolename
498,"CAVE, SIR BASIL S.",C.B.
499,"CAVENDISH-BENTINCK, VICTOR F.W.",C.M.G.
500,"CAVENDISH-BENTINCK, Lieutenant-General Rt. Hon. LORD WILLIAM H.",G.C.B.
501,"CECIL, ROBERT",C.M.G.
502,"CEURVORST, ANTONY P.",M.B.E.
503,"CHADWICK, G.W. ST. JOHN",C.M.G.
504,"CHADWICK, SIR JOHN E.",K.C.M.G.
505,"CHALKLEY, SIR H. OWEN",K.C.M.G.
506,"CHALKLEY, SIR H. OWEN",C.B.E.
507,"CHALMERS, GEORGE B.",C.M.G.
508,"CHAMBERLAIN, KEVIN J.",C.M.G.
509,"CHAMPION, JOHN S.",C.M.G.
510,"CHAMPION, JOHN S.",O.B.E.
511,"CHANDLEY, PETER W.",M.V.O.
512,"CHAPLIN, EDWARD G.M.",C.M.G.
513,"CHAPLIN, EDWARD G.M.",O.B.E.
514,"CHAPMAN, MARK F.",C.V.O.
515,"CHAPMAN-ANDREWS, SIR EDWIN A.",K.C.M.G.
516,"CHAPMAN-ANDREWS, SIR EDWIN A.",O.B.E.
517,"CHAPPELL, JULIE L.J.",O.B.E.
518,"CHARLES, SIR NOEL H.H., Bt.",K.C.M.G.
519,"CHARLES, SIR NOEL H.H., Bt.",M.C.
520,"CHARLTON, ALAN",C.M.G.
521,"CHARLTON, ALAN",C.V.O.
522,"CHARLTON, ARCHIBALD C.",C.M.G.
523,"CHEESEMAN, BERNARD",O.B.E.
524,"CHEETHAM, SIR J. MILNE C.",K.C.M.G.
525,"CHEETHAM, SIR NICOLAS J.A.",K.C.M.G.
526,"CHEKE, DUDLEY J.",C.M.G.
527,"CHEKE, SIR MARCUS J.",K.C.V.O.
528,"CHEKE, SIR MARCUS J.",C.M.G.
529,"CHICK, HERBERT G.",C.I.E.
530,"CHICK, HERBERT G.",C.B.E.
531,"CHILCOTT, SIR DOMINICK J.",K.C.M.G.
532,"CHILD, CLIFTON J.",O.B.E.
533,"CHILSTON, Rt. Hon. ARETAS, 2nd VISCOUNT",G.C.M.G.
534,"CHILTON, SIR HENRY G.",G.C.M.G.
535,"CHISHOLM, RONALD G.",T.D.
536,"CHITTY, M. BERYL",C.M.G.
537,"CHRISTOFAS, SIR KENNETH C.",K.C.M.G.
538,"CHRISTOFAS, SIR KENNETH C.",M.B.E.
539,"CHRISTOPHER, SIR D. ROBIN C.",K.B.E.
540,"CHRISTOPHER, SIR D. ROBIN C.",C.M.G.
541,"CHURCH, JOHN C",C.M.G.
542,"CHURCH, JOHN C",C.V.O.
543,"CHURCH, JOHN C",M.B.E.
544,"CHURCHILL, GEORGE P.",C.B.E.
545,"CHURCHILL, HARRY L.",C.M.G.
546,"CHURCHILL, HENRY A.",C.B.
547,"CHURCHILL, SIDNEY J.A.",M.V.O.
548,"CLANCARTY, Rt. Hon. RICHARD, 2nd EARL OF",G.C.B.
549,"CLARENDON, Rt. Hon. GEORGE, 4th EARL OF",K.G.
550,"CLARENDON, Rt. Hon. GEORGE, 4th EARL OF",G.C.B.
551,"CLARK, GERALD E.",C.M.G.
552,"CLARK, JAMES McADAM",C.V.O.
553,"CLARK, JAMES McADAM",M.C.
554,"CLARK, SIR TERENCE J.",K.B.E.
555,"CLARK, SIR TERENCE J.",C.M.G.
556,"CLARK, SIR TERENCE J.",C.V.O.
557,"CLARK, SIR W. ARTHUR W.",K.C.M.G.
558,"CLARK, SIR W. ARTHUR W.",C.B.E.
559,"CLARK, SIR WILLIAM H.",G.C.M.G.
560,"CLARK, SIR WILLIAM H.",K.C.S.I.
561,"CLARKE, GUY H.",C.M.G.
562,"CLARKE, SIR H. ASHLEY",G.C.M.G.
563,"CLARKE, SIR H. ASHLEY",G.C.V.O.
564,"CLAY, SIR EDWARD",K.C.M.G.
565,"CLEARY, DENIS M.",C.M.G.
566,"CLEGHORN, BRUCE E.",C.M.G.
567,"CLEMENS, CLIVE C.",C.M.G.
568,"CLEMENS, CLIVE C.",M.C.
569,"CLERK, Rt. Hon. SIR GEORGE R.",G.C.M.G.
570,"CLERK, Rt. Hon. SIR GEORGE R.",C.B.
571,"CLEUGH, ERIC A.",C.M.G.
572,"CLEUGH, ERIC A.",C.V.O.
573,"CLEUGH, ERIC A.",O.B.E.
574,"CLIBBORN, DONOVAN H.",C.M.G.
575,"CLIFF, IAN C.",C.M.G.
576,"CLIFF, IAN C.",O.B.E.
577,"CLIFT, RICHARD D.",C.M.G.
578,"CLINTON-THOMAS, ROBERT A.",C.B.E.
579,"CLIPSHAM, PHILIP R.",M.B.E.
580,"CLIVE, NIGEL D.",C.M.G.
581,"CLIVE, NIGEL D.",O.B.E.
582,"CLIVE, NIGEL D.",M.C.
583,"CLIVE, NIGEL D.",T.D.
584,"CLIVE, Rt. Hon. SIR ROBERT H.",G.C.M.G.
585,"CLOAKE, JOHN C.",C.M.G.
586,"CLUTTERBUCK, SIR P. ALEXANDER",G.C.M.G.
587,"CLUTTERBUCK, SIR P. ALEXANDER",M.C.
588,"CLUTTON, SIR GEORGE L.",K.C.M.G.
589,"COBBOLD, THOMAS C.",C.B.
590,"COCHRANE-DYET, FERGUS J.",O.B.E.
591,"COCKERHAM, DAVID",C.B.E.
592,"COCKRAM, BEN",C.M.G.
593,"COCKRAM, BEN",O.B.E.
594,"COGHILL, JOHN P.",C.B.E.
595,"COHEN, SIR EDGAR A.",K.C.M.G.
596,"COKE-WALLIS, LEONARD G.",C.M.G.
597,"COKE-WALLIS, LEONARD G.",C.I.E.
598,"COLE, SIR DAVID L.",K.C.M.G.
599,"COLE, SIR DAVID L.",M.C.
600,"COLEMAN, BERNARD",C.M.G.
601,"COLES, SIR A. JOHN",G.C.M.G.
602,"COLLARD, DOUGLAS R.",O.B.E.
603,"COLLECOTT, PETER S.",C.M.G.
604,"COLLIER, SIR LAURENCE",K.C.M.G.
605,"COLLINS, SIR ALAN S.",K.C.V.O.
606,"COLLINS, SIR ALAN S.",C.M.G.
607,"COLLINS, ARTHUR J.",O.B.E.
608,"COLLINS, MICHAEL B.",O.B.E.
609,"COLLIS, SIMON P.",C.M.G.
610,"COLQUHOUN, SIR ROBERT G.",K.C.B.
611,"COLTMAN, SIR A. LEYCESTER S.",K.B.E.
612,"COLTMAN, SIR A. LEYCESTER S.",C.M.G.
613,"COLVIN, DAVID H.",C.M.G.
614,"COLVIN, JOHN H.R.",C.M.G.
615,"COLVIN, KATHRYN F.",C.V.O.
616,"COMBS, SIR WILLIS I.",K.C.V.O.
617,"COMBS, SIR WILLIS I.",C.M.G.
618,"CONDON, DENIS D.",O.B.E.
619,"CONNELLY, BRIAN N.",O.B.E.
620,"CONROY, ANNE (ANNELI) E.",M.V.O.
621,"COOK, BERNARD C.A.",C.M.G.
622,"COOK, BERNARD C.A.",O.B.E.
623,"COOK, FRANK A.G.",C.B.E.
624,"COOK, MICHAEL E.",C.M.G.
625,"COOKSON, SIR CHARLES A.",K.C.M.G.
626,"COOKSON, SIR CHARLES A.",C.B.
627,"COOMBS, KAY",O.B.E.
628,"COOPER, Rt. Hon. Sir ALFRED DUFF",G.C.M.G.
629,"COOPER, Rt. Hon. Sir ALFRED DUFF",D.S.O.
630,"COOPER, SIR ROBERT F.",K.C.M.G.
631,"COOPER, SIR ROBERT F.",M.V.O.
632,"COPSON, MICHAEL J",O.B.E.
633,"CORBETT, SIR VINCENT E.H.",K.C.V.O.
634,"CORDINER, WILLIAM L.",O.B.E.
635,"CORLEY SMITH, GERARD T.",C.M.G.
636,"CORMACK, ROBERT L.B.",C.M.G.
637,"CORNISH, R. FRANCIS",C.M.G.
638,"CORNISH, R. FRANCIS",L.V.O.
639,"CORNWALLIS, SIR KINAHAN",G.C.M.G.
640,"CORNWALLIS, SIR KINAHAN",C.B.E.
641,"CORNWALLIS, SIR KINAHAN",D.S.O.
642,"CORTAZZI, SIR H.A. HUGH",G.C.M.G.
643,"COSTAR, SIR NORMAN E.",K.C.M.G.
644,"COSTLEY-WHITE, CYRIL G",C.M.G.
645,"COTTON, SIR JOHN R.",K.C.M.G.
646,"COTTON, SIR JOHN R.",O.B.E.
647,"COULSON, SIR JOHN E.",K.C.M.G.
648,"COULTAS, FREDERICK G.",C.M.G.
649,"COWELL, A.J. HAMISH",C.M.G.
650,"COWPER-COLES, SIR SHERARD L.",K.C.M.G.
651,"COWPER-COLES, SIR SHERARD L.",L.V.O.
652,"COX, NORMAN E.",C.M.G.
653,"CRABBIE, CHRISTOPHER D.",C.M.G.
654,"CRACKANTHORPE, DAYRELL E.M.",C.M.G.
655,"CRACKANTHORPE, DAYRELL E.M.",M.V.O.
656,"CRADOCK, SIR PERCY",G.C.M.G.
657,"CRAIG, SIR A. JAMES M.",G.C.M.G.
658,"CRAIG, LESLEY",M.B.E.
659,"CRAIGIE, Rt. Hon. SIR ROBERT L.",G.C.M.G.
660,"CRAIGIE, Rt. Hon. SIR ROBERT L.",C.B.
661,"CRAMPTON, SIR JOHN F.T., Bt.",K.C.B.
662,"CRANSTON, WILLIAM P.",C.M.G.
663,"CRAWFORD, CHARLES G.",C.M.G.
664,"CRAWFORD, SIR R. STEWART",G.C.M.G.
665,"CRAWFORD, SIR R. STEWART",C.V.O.
666,"CRAWLEY, DESMOND J.C.",C.M.G.
667,"CRAWLEY, DESMOND J.C.",C.V.O.
668,"CREEK, MALCOLM L.",L.V.O.
669,"CREEK, MALCOLM L.",M.B.E.
670,"CRESSWELL, JEREMY M.",C.V.O.
671,"CRESWELL, SIR MICHAEL J.",K.C.M.G.
672,"CREWE, Rt. Hon. ROBERT, 1st MARQUESS OF",K.G.
673,"CRICHTON, Lieutenant-Colonel GERALD C.L.",C.S.I.
674,"CRICHTON, Lieutenant-Colonel GERALD C.L.",C.I.E.
675,"CROFT, STANLEY E.",T.D.
676,"CROFT, SIR WILLIAM D.",K.C.B.
677,"CROFT, SIR WILLIAM D.",K.B.E.
678,"CROFT, SIR WILLIAM D.",C.I.E.
679,"CROFT, SIR WILLIAM D.",C.V.O.
680,"CROLL, M. LOUISE",C.B.E.
681,"CROMARTIE, R. IAN T.",C.M.G.
682,"CROMBIE, ANTHONY C.",O.B.E.
683,"CROMBIE, GEORGE E.",C.M.G.
684,"CROMBIE, SIR JAMES I.C.",K.C.B.
685,"CROMBIE, SIR JAMES I.C.",K.B.E.
686,"CROMBIE, SIR JAMES I.C.",C.M.G.
687,"CROMER, Rt. Hon. EVELYN, 1st EARL OF",G.C.B.
688,"CROMER, Rt. Hon. EVELYN, 1st EARL OF",O.M.
689,"CROMER, Rt. Hon. EVELYN, 1st EARL OF",G.C.M.G.
690,"CROMER, Rt. Hon. EVELYN, 1st EARL OF",K.C.S.I.
691,"CROMER, Rt. Hon. EVELYN, 1st EARL OF",C.I.E.
692,"CROMER, Rt. Hon. ROWLAND, 3rd EARL OF CROMER",K.G.
693,"CROMER, Rt. Hon. ROWLAND, 3rd EARL OF CROMER",G.C.M.G.
694,"CROMER, Rt. Hon. ROWLAND, 3rd EARL OF CROMER",M.B.E.
695,"CROMPTON, R.A. NEIL",C.B.E.
696,"CROOK, KENNETH R.",C.M.G.
697,"CRORKIN, COLIN",M.B.E.
698,"CROSBY, JOHN M.",C.M.G.
699,"CROSBY, JOHN M.",L.V.O.
700,"CROSBY, SIR JOSIAH",K.C.M.G.
701,"CROSBY, SIR JOSIAH",K.B.E.
702,"CROSBY, SIR JOSIAH",C.I.E.
703,"CROSS, LINDA M.",M.B.E.
704,"CROSS, Rt. Hon. SIR RONALD H., Bt.",K.C.M.G.
705,"CROSS, Rt. Hon. SIR RONALD H., Bt.",K.C.V.O.
706,"CROSSLEY, GEOFFREY A.",C.M.G.
707,"CROSTHWAIT, TIMOTHY L.",C.M.G.
708,"CROSTHWAIT, TIMOTHY L.",M.B.E.
709,"CROW, FRANCIS E.",C.M.G.
710,"CROWE, SIR BRIAN L.",K.C.M.G.
711,"CROWE, SIR COLIN T.",G.C.M.G.
712,"CROWE, SIR EDWARD E.T.F.",K.C.M.G.
713,"CROWE, SIR EYRE A.B.W.",G.C.B.
714,"CROWE, SIR EYRE A.B.W.",G.C.M.G.
715,"CROWE, SIR JOSEPH A.",K.C.M.G.
716,"CROWSON, RICHARD B.",C.M.G.
717,"CULLEN, J. BRIAN",C.B.E.
718,"CULLIMORE, CHARLES A.K.",C.M.G.
719,"CULSHAW, ROBERT N.",M.V.O.
720,"CULVER, JOHN H.",L.V.O.
721,"CUMBERBATCH, ARTHUR N.",C.M.G.
722,"CUMBERBATCH, ARTHUR N.",C.B.E.
723,"CUMBERBATCH, HENRY A.",C.M.G.
724,"CUMMING-BRUCE, Hon. SIR FRANCIS E. HOVELL-THURLOW",K.C.M.G.
725,"CUMMINS, HERBERT A.C.",C.M.G.
726,"CUMMINS, HERBERT A.C.",O.B.E.
727,"CUNLIFFE, SIR JONATHAN S.",C.B.
728,"CUNNINGHAM, SIR GEORGE",G.C.I.E.
729,"CUNNINGHAM, SIR GEORGE",K.C.S.I.
730,"CUNNINGHAM, SIR GEORGE",O.B.E.
731,"CURLE, SIR JOHN N.O.",K.C.V.O.
732,"CURLE, SIR JOHN N.O.",C.M.G.
733,"CURRIE, SIR JAMES",K.B.E.
734,"CURRIE, SIR JAMES",C.M.G.
735,"CURRIE, Rt. Hon. SIR PHILIP H.W.",G.C.B.
736,"CURSON, BERNARD R.",C.M.G.
737,"CUSDEN, VICTOR V.",O.B.E.
738,"DAIN, SIR DAVID J.M.",K.C.V.O.
739,"DAIN, SIR DAVID J.M.",C.M.G.
740,"DALES, SIR RICHARD N.",K.C.V.O.
741,"DALES, SIR RICHARD N.",C.M.G.
742,"DALTON, MAURICE L.",L.V.O.
743,"DALTON, MAURICE L.",M.B.E.
744,"DALTON, PETER G.F.",C.M.G.
745,"DALTON, SIR RICHARD J.",K.C.M.G.
746,"DALY, JAMES",C.V.O.
747,"DALY, MICHAEL F.",C.M.G.
748,"DANIEL, HAMISH ST. CLAIR",C.M.G.
749,"DANIEL, HAMISH ST. CLAIR",O.B.E.
750,"DANIELL, RALPH A.",C.B.E.
751,"D’ARNAUD-TAYLOR, GILBERT",O.B.E.
752,"DARROCH, SIR N. KIM",K.C.M.G.
753,"DART, JONATHAN",M.V.O.
754,"DARWIN, HENRY G",C.M.G.
755,"DAUKES, Lieutenant-Colonel SIR CLENDON T.",C.I.E.
756,"DAUNT, SIR TIMOTHY L.A.",K.C.M.G.
757,"DAVENPORT, MICHAEL H.",M.B.E.
758,"DAVIDSON, ALAN E.",C.M.G.
759,"DAVIDSON, JAMES A.",O.B.E.
760,"DAVIDSON, JOHN W.O.",C.M.G.
761,"DAVIDSON, JOHN W.O.",O.B.E.
762,"DAVIDSON, SIR W. EDWARD",K.C.M.G.
763,"DAVIDSON, SIR W. EDWARD",C.B.
764,"DAVIDSON, SIR W. EDWARD",K.C.
765,"DAVIES, EMRYS T.",C.M.G.
766,"DAVIES, HUGH L.",C.M.G.
767,"DAVIES, PATRICK J.",O.B.E.
768,"DAVIES, PETER D.R.",C.M.G.
769,"DAVIES, WILLIAM J.",C.M.G.
770,"DAVIES, WILLIAM J.",O.B.E.
771,"DAVIS, SIR CHARLES T.",G.C.M.G.
772,"DAW, SYDNEY E.H.",C.M.G.
773,"DAW, SYDNEY E.H.",C.B.E.
774,"DAWBARN, SIR SIMON Y.",K.C.V.O.
775,"DAWBARN, SIR SIMON Y.",C.M.G.
776,"DAY, SIR DEREK M.",K.C.M.G.
777,"DAY, STEPHEN P.",C.M.G.
778,"DEAN, SIR PATRICK H.",G.C.M.G.
779,"de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt.",G.C.M.G.
780,"de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt.",G.C.V.O.
781,"de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt.",C.B.
782,"de CHASSIRON, CHARLES R.L.",C.V.O.
783,"de COURCY-IRELAND, PATRICK G.",C.V.O.
784,"de COURCY-PERRY, SIR GERALD R.",C.M.G.
785,"de FONBLANQUE, JOHN R.",C.M.G.
786,"de FREITAS, SIR GEOFFREY S.",K.C.M.G.
787,"de la MARE, SIR ARTHUR J.",K.C.M.G.
788,"de la MARE, SIR ARTHUR J.",K.C.V.O.
789,"DENING, SIR M. ESLER",G.C.M.G.
790,"DENING, SIR M. ESLER",O.B.E.
791,"DENNE, CHRISTOPHER J.A.",C.M.G.
792,"DENSON, JOHN B.",C.M.G.
793,"DENSON, JOHN B.",O.B.E.
794,"DERBY, Rt. Hon. EDWARD, 17th EARL OF",K.G.
795,"DERBY, Rt. Hon. EDWARD, 17th EARL OF",G.C.B.
796,"DERBY, Rt. Hon. EDWARD, 17th EARL OF",G.C.V.O.
797,"DERBY, Rt. Hon. EDWARD, 17th EARL OF",T.D.
798,"DERING, SIR HENRY N., Bt.",K.C.M.G.
799,"DERING, SIR HENRY N., Bt.",C.B.
800,"DERING, SIR HERBERT G.",K.C.M.G.
801,"DERING, SIR HERBERT G.",K.C.I.E.
802,"DERING, SIR HERBERT G.",M.V.O.
803,"DE SALIS, SIR JOHN F.C.",K.C.M.G.
804,"DE SALIS, SIR JOHN F.C.",C.V.O.
805,"DES GRAZ, SIR CHARLES L.",K.C.M.G.
806,"DEWAR, ROBERT S.",C.M.G.
807,"DICKINSON, W. MARK L.",O.B.E.
808,"DICKSON, GEORGE",C.B.E.
809,"DICKSON, SPENSER S.",C.M.G.
810,"DIGGINES, CHRISTOPHER E.",C.M.G.
811,"DIMOND, PAUL S.",C.M.G.
812,"DINWIDDY, BRUCE H.",C.M.G.
813,"DIXON, SIR CHARLES W.",K.C.M.G.
814,"DIXON, SIR CHARLES W.",K.C.V.O.
815,"DIXON, SIR CHARLES W.",O.B.E.
816,"DIXON, JACK S.",O.B.E.
817,"DIXON, SIR PIERSON J.",G.C.M.G.
818,"DIXON, SIR PIERSON J.",C.B.
819,"DOBBS, JOSEPH A.",C.M.G.
820,"DOBBS, JOSEPH A.",O.B.E.
821,"DOBBS, JOSEPH A.",T.D.
822,"DOBLE, JOHN F.",O.B.E.
823,"DODDS, SIR JAMES L.",K.C.M.G.
824,"DODSON, SIR DEREK S.L.",K.C.M.G.
825,"DODSON, SIR DEREK S.L.",M.C.
826,"DONALD, SIR ALAN E.",K.C.M.G.
827,"DONNELLY, SIR J. BRIAN",K.B.E.
828,"DONNELLY, SIR J. BRIAN",C.M.G.
829,"DONNELLY, SIR MARTIN E.",K.C.B.
830,"DONNELLY, SIR MARTIN E.",C.M.G.
831,"DOREY, GREGORY J.",C.V.O.
832,"DORMAN, RICHARD B.",C.B.E.
833,"DORMER, SIR CECIL F.J.",K.C.M.G.
834,"DORMER, SIR CECIL F.J.",M.V.O.
835,"DORSET, Rt. Hon. JOHN F., 3rd DUKE OF",K.G.
836,"DOUBLEDAY, JOHN G.",O.B.E.
837,"DOUGLAS, JANET E.",C.M.G.
838,"DOW, SIR HUGH",G.C.I.E.
839,"DOW, SIR HUGH",K.C.S.I.
840,"DOWSE, TIMOTHY M.",C.M.G.
841,"DRACE-FRANCIS, CHARLES D.S.",C.M.G.
842,"DRAKE, HOWARD R.",C.M.G.
843,"DRAKE, HOWARD R.",O.B.E.
844,"DREW, JONATHAN",M.B.E.
845,"DREW, PHILIPPA C.",C.B.
846,"DREW, THOMAS",C.M.G.
847,"DRINKALL, JOHN K.",C.M.G.
848,"DRUMMOND, Rt. Hon. SIR J. ERIC DRUMMOND",G.C.M.G.
849,"DRUMMOND, Rt. Hon. SIR J. ERIC DRUMMOND",C.B.
850,"DRUMMOND, SIR VICTOR A.W.",K.C.M.G.
851,"DRUMMOND, SIR VICTOR A.W.",C.B.
852,"DRUMMOND-HAY, Rt. Hon. SIR JOHN",G.C.M.G.
853,"DRUMMOND-HAY, Rt. Hon. SIR JOHN",K.C.B.
854,"DRUMMOND WOLFF, Rt. Hon. SIR HENRY",G.C.B.
855,"DRUMMOND WOLFF, Rt. Hon. SIR HENRY",G.C.M.G.
856,"DUDGEON, HENRY A.",C.M.G.
857,"DUDLEY, SIR ALAN A.",K.B.E.
858,"DUDLEY, SIR ALAN A.",C.M.G.
859,"DUFF, Rt. Hon. SIR A. ANTONY",G.C.M.G.
860,"DUFF, Rt. Hon. SIR A. ANTONY",C.V.O.
861,"DUFF, Rt. Hon. SIR A. ANTONY",D.S.O.
862,"DUFF, Rt. Hon. SIR A. ANTONY",D.S.C.
863,"DUFF, SIR C. PATRICK",K.C.B.
864,"DUFF, SIR C. PATRICK",K.C.V.O.
865,"DUFF, PATRICK C.",C.M.G.
866,"DUFFERIN AND AVA, Rt. Hon. FREDERICK, 1st MARQUESS OF",K.P.
867,"DUFFERIN AND AVA, Rt. Hon. FREDERICK, 1st MARQUESS OF",G.C.B.
868,"DUFFERIN AND AVA, Rt. Hon. FREDERICK, 1st MARQUESS OF",G.C.S.I.
869,"DUFFERIN AND AVA, Rt. Hon. FREDERICK, 1st MARQUESS OF",G.C.M.G.
870,"DUFFERIN AND AVA, Rt. Hon. FREDERICK, 1st MARQUESS OF",G.C.I.E.
871,"DUFFIELD, LINDA J.",C.M.G.
872,"DUGGAN, GORDON A.",C.M.G.
873,"DUKE, SIR CHARLES B.",K.C.M.G.
874,"DUKE, SIR CHARLES B.",C.I.E.
875,"DUKE, SIR CHARLES B.",O.B.E.
876,"DUNBAR, ROBERT",C.M.G.
877,"DUNBAR, ROBERT",M.C.
878,"DUNCAN, SIR HAROLD H.",K.C.M.G.
879,"DUNCAN, SIR HAROLD H.",Q.C.
880,"DUNCAN, JOHN S.R.",C.M.G.
881,"DUNCAN, JOHN S.R.",M.B.E.
882,"DUNCAN, JOHN S.",O.B.E.
883,"DUNCAN, STANLEY F. ST.C.",C.M.G.
884,"DUNDAS, ROBERT G.",C.B.E.
885,"DUNLOP, Brigadier SIR JOHN K.",K.B.E.
886,"DUNLOP, Brigadier SIR JOHN K.",C.M.G.
887,"DUNLOP, Brigadier SIR JOHN K.",M.C.
888,"DUNLOP, Brigadier SIR JOHN K.",T.D.
889,"DUNLOP, WILLIAM L.M.",C.M.G.
890,"DUNLOP, WILLIAM L.M.",O.B.E.
891,"DUNN, JONATHAN M.",O.B.E.
892,"DUNNACHIE, HUGH",M.B.E.
893,"DUNNETT, DENZIL I.",C.M.G.
894,"DUNNETT, DENZIL I.",O.B.E.
895,"DUNROSSIL, JOHN, 2nd VISCOUNT",C.M.G.
896,"DURAND, SIR H. MORTIMER",G.C.M.G.
897,"DURAND, SIR H. MORTIMER",K.C.S.I.
898,"DURAND, SIR H. MORTIMER",K.C.I.E.
899,"DURHAM, Rt. Hon. JOHN, 1st EARL OF",G.C.B.
900,"DYMOND, CHARLES E.",C.B.E.
901,"DYSON, JOHN A.",M.V.O.
902,"EADEN, MAURICE B.",C.B.E.
903,"EAST, KENNETH A.",C.M.G.
904,"EASTON, Air Commodore SIR JAMES A.",K.C.M.G.
905,"EASTON, Air Commodore SIR JAMES A.",C.B.
906,"EASTON, Air Commodore SIR JAMES A.",C.B.E.
907,"EASTWICK, EDWARD B.",C.B.
908,"EASTWOOD, BASIL S.T.",C.M.G.
909,"EASTWOOD, HAROLD E.",C.M.G.
910,"EATON, MARTIN R.",C.M.G.
911,"EDDEN, ALAN J.",C.M.G.
912,"EDES, J. MICHAEL",C.M.G.
913,"EDIS, RICHARD J.S.",C.M.G.
914,"EDMONDS, JOHN C",C.M.G.
915,"EDMONDS, JOHN C",C.V.O.
916,"EDMONDS, ROBERT (ROBIN) H.G.",C.M.G.
917,"EDMONDS, ROBERT (ROBIN) H.G.",M.B.E.
918,"EDMONDS, WILLIAM S.",C.M.G.
919,"EDMONDSON, GEORGE D’A.",C.M.G.
920,"EDMONDSON, GEORGE D’A.",C.V.O.
921,"EDMONDSON, GEORGE D’A.",O.B.E.
922,"EDWARDS, DAVID M.",C.M.G.
923,"EDWARDS, GEOFFREY F.",C.B.E.
924,"EDWARDS, GEOFFREY F.",T.D.
925,"EDWARDS, JOHN C.",C.M.G.
926,"EDWARDS, STEWART L.",C.M.G.
927,"EGERTON, Rt. Hon. SIR EDWIN H.",G.C.M.G.
928,"EGERTON, Rt. Hon. SIR EDWIN H.",K.C.B.
929,"EGERTON, SIR STEPHEN L.",K.C.M.G.
930,"EHRMAN, SIR WILLIAM G.",K.C.M.G.
931,"ELAM, J. NICHOLAS",C.M.G.
932,"ELDON, SIR STEWART G.",K.C.M.G.
933,"ELDON, SIR STEWART G.",O.B.E.
934,"ELDRIDGE, GEORGE J.",C.M.G.
935,"ELGAR, ALAN G.",O.B.E.
936,"ELIOT, Rt. Hon. SIR CHARLES N.E.",G.C.M.G.
937,"ELLIOT, CAROLINE (CARMA) M.",C.M.G.
938,"ELLIOT, CAROLINE (CARMA) M.",O.B.E.
939,"ELLIOT, SIR FRANCIS E.H.",G.C.M.G.
940,"ELLIOT, SIR FRANCIS E.H.",G.C.V.O.
941,"ELLIOT, Rt. Hon. SIR HENRY G.",G.C.B.
942,"ELLIOTT, MARK",C.M.G.
943,"ELLIOTT, T. ANTHONY K.",C.M.G.
944,"ELLIOTT, WILLIAM",O.B.E.
945,"ELLIS, ALEXANDER W.",C.M.G.
946,"ELLIS, JOSEPH S.",C.M.G.
947,"ELLIS, JOSEPH S.",O.B.E.
948,"ELLIS-REES, SIR HUGH",K.C.M.G.
949,"ELLIS-REES, SIR HUGH",C.B.
950,"ELMES, CAROLINE M.T.",C.M.G.
951,"EMERY, ELEANOR J.",C.M.G.
952,"EMPSON, SIR CHARLES",K.C.M.G.
953,"ERROLL, VICTOR, 21st EARL OF",K.C.M.G.
954,"ERSKINE, Hon. EDWARD M.",C.B.
955,"ERSKINE, Rt. Hon. SIR WILLIAM A.F.",G.C.M.G.
956,"ERSKINE, Rt. Hon. SIR WILLIAM A.F.",M.V.O.
957,"ETHERINGTON-SMITH, R. GORDON A.",C.M.G.
958,"EUAN-SMITH, COLONEL SIR CHARLES B.",K.C.B.
959,"EUAN-SMITH, COLONEL SIR CHARLES B.",C.S.I.
960,"EVANS, ALEXANDER",O.B.E.
961,"EVANS, SIR FRANCIS E.",G.B.E.
962,"EVANS, SIR FRANCIS E.",K.C.M.G.
963,"EVANS, HUBERT J.F.",C.M.G.
964,"EVANS, LAURENCE J.",C.B.E.
965,"EVANS, DAME M. GLYNNE D.",D.B.E.
966,"EVANS, DAME M. GLYNNE D.",C.M.G.
967,"EVANS, SIR RICHARD M.",K.C.M.G.
968,"EVANS, SIR RICHARD M.",K.C.V.O.
969,"EVANS, STEPHEN N.",C.M.G.
970,"EVANS, STEPHEN N.",O.B.E.
971,"EVANS, TREFOR E.",C.M.G.
972,"EVANS, TREFOR E.",O.B.E.
973,"EVANS, SIR W. VINCENT J.",G.C.M.G.
974,"EVANS, SIR W. VINCENT J.",M.B.E.
975,"EVANS, SIR W. VINCENT J.",Q.C.
976,"EVERARD, TIMOTHY J.",C.M.G.
977,"EVERETT, BERNARD J.",C.V.O.
978,"EVERSON, SIR FREDERICK C.",K.C.M.G.
979,"EWANS, SIR MARTIN K.",K.C.M.G.
980,"EWART-BIGGS, CHRISTOPHER E.",C.M.G.
981,"EWART-BIGGS, CHRISTOPHER E.",O.B.E.
982,"EYERS, PATRICK H.C.",C.M.G.
983,"EYERS, PATRICK H.C.",L.V.O.
984,"EYRES, SIR HARRY C.A.",K.C.M.G.
985,"EYRES, HARRY M.",C.M.G.
986,"EZARD, CLARENCE N.",C.B.E.
987,"FABER, SIR RICHARD S.",K.C.V.O.
988,"FABER, SIR RICHARD S.",C.M.G.
989,"FAIRCLOUGH, ANTHONY J.",C.M.G.
990,"FAIRWEATHER, SIR PATRICK S.",K.C.M.G.
991,"FALCONER, Liutenant-Colonel SIR GEORGE A.",K.B.E.
992,"FALCONER, Liutenant-Colonel SIR GEORGE A.",C.I.E.
